2020-05-20 17:10:37 DEBUG EntityBinder:430 - Import with entity name Movie
2020-05-20 17:10:37 DEBUG EntityBinder:873 - Bind entity cinema.model.Movie on table movie
2020-05-20 17:10:37 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(movie), mappingColumn=id, insertable=true, updatable=true, unique=false}
2020-05-20 17:10:37 DEBUG PropertyBinder:175 - MetadataSourceProcessor property id with lazy=false
2020-05-20 17:10:37 DEBUG AbstractPropertyHolder:94 - Attempting to locate auto-apply AttributeConverter for property [cinema.model.Movie:id]
2020-05-20 17:10:37 DEBUG SimpleValueBinder:411 - building SimpleValue for id
2020-05-20 17:10:37 DEBUG PropertyBinder:266 - Building property id
2020-05-20 17:10:37 DEBUG BinderHelper:644 - #makeIdGenerator(org.hibernate.mapping.SimpleValue([org.hibernate.mapping.Column(id)]), id, identity, , ...)
2020-05-20 17:10:37 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(movie), mappingColumn=description, insertable=true, updatable=true, unique=false}
2020-05-20 17:10:37 DEBUG PropertyBinder:175 - MetadataSourceProcessor property description with lazy=false
2020-05-20 17:10:37 DEBUG AbstractPropertyHolder:94 - Attempting to locate auto-apply AttributeConverter for property [cinema.model.Movie:description]
2020-05-20 17:10:37 DEBUG SimpleValueBinder:411 - building SimpleValue for description
2020-05-20 17:10:37 DEBUG PropertyBinder:266 - Building property description
2020-05-20 17:10:37 DEBUG Ejb3Column:213 - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(movie), mappingColumn=title, insertable=true, updatable=true, unique=false}
2020-05-20 17:10:37 DEBUG PropertyBinder:175 - MetadataSourceProcessor property title with lazy=false
2020-05-20 17:10:37 DEBUG AbstractPropertyHolder:94 - Attempting to locate auto-apply AttributeConverter for property [cinema.model.Movie:title]
2020-05-20 17:10:37 DEBUG SimpleValueBinder:411 - building SimpleValue for title
2020-05-20 17:10:37 DEBUG PropertyBinder:266 - Building property title
2020-05-20 17:10:37 DEBUG SimpleValueBinder:456 - Starting fillSimpleValue for id
2020-05-20 17:10:37 DEBUG SimpleValueBinder:456 - Starting fillSimpleValue for description
2020-05-20 17:10:37 DEBUG SimpleValueBinder:456 - Starting fillSimpleValue for title
2020-05-20 17:10:37 DEBUG PrimaryKey:35 - Forcing column [id] to be non-null as it is part of the primary key for table [movie]
2020-05-20 17:10:37 DEBUG SessionFactoryImpl:201 - Building session factory
2020-05-20 17:10:37 DEBUG Settings:68 - SessionFactory name : null
2020-05-20 17:10:37 DEBUG Settings:69 - Automatic flush during beforeCompletion(): enabled
2020-05-20 17:10:37 DEBUG Settings:70 - Automatic session close at end of transaction: disabled
2020-05-20 17:10:37 DEBUG Settings:72 - Statistics: disabled
2020-05-20 17:10:37 DEBUG Settings:74 - Deleted entity synthetic identifier rollback: disabled
2020-05-20 17:10:37 DEBUG Settings:75 - Default entity-mode: pojo
2020-05-20 17:10:37 DEBUG Settings:76 - Check Nullability in Core (should be disabled when Bean Validation is on): enabled
2020-05-20 17:10:37 DEBUG Settings:77 - Allow initialization of lazy state outside session : disabled
2020-05-20 17:10:37 DEBUG Settings:79 - Using BatchFetchStyle : LEGACY
2020-05-20 17:10:37 DEBUG Settings:80 - Default batch fetch size: -1
2020-05-20 17:10:37 DEBUG Settings:81 - Maximum outer join fetch depth: 2
2020-05-20 17:10:37 DEBUG Settings:82 - Default null ordering: NONE
2020-05-20 17:10:37 DEBUG Settings:83 - Order SQL updates by primary key: disabled
2020-05-20 17:10:37 DEBUG Settings:84 - Order SQL inserts for batching: disabled
2020-05-20 17:10:37 DEBUG Settings:86 - multi-tenancy strategy : NONE
2020-05-20 17:10:37 DEBUG Settings:88 - JTA Track by Thread: enabled
2020-05-20 17:10:37 DEBUG Settings:90 - Query language substitutions: {}
2020-05-20 17:10:37 DEBUG Settings:91 - Named query checking : enabled
2020-05-20 17:10:37 DEBUG Settings:93 - Second-level cache: disabled
2020-05-20 17:10:37 DEBUG Settings:94 - Second-level query cache: disabled
2020-05-20 17:10:37 DEBUG Settings:95 - Second-level query cache factory: null
2020-05-20 17:10:37 DEBUG Settings:96 - Second-level cache region prefix: null
2020-05-20 17:10:37 DEBUG Settings:97 - Optimize second-level cache for minimal puts: disabled
2020-05-20 17:10:37 DEBUG Settings:98 - Structured second-level cache entries: disabled
2020-05-20 17:10:37 DEBUG Settings:99 - Second-level cache direct-reference entries: disabled
2020-05-20 17:10:37 DEBUG Settings:100 - Automatic eviction of collection cache: disabled
2020-05-20 17:10:37 DEBUG Settings:102 - JDBC batch size: 15
2020-05-20 17:10:37 DEBUG Settings:103 - JDBC batch updates for versioned data: enabled
2020-05-20 17:10:37 DEBUG Settings:104 - Scrollable result sets: enabled
2020-05-20 17:10:37 DEBUG Settings:105 - Wrap result sets: disabled
2020-05-20 17:10:37 DEBUG Settings:106 - JDBC3 getGeneratedKeys(): enabled
2020-05-20 17:10:37 DEBUG Settings:107 - JDBC result set fetch size: null
2020-05-20 17:10:37 DEBUG Settings:108 - Connection release mode: AFTER_TRANSACTION
2020-05-20 17:10:37 DEBUG Settings:109 - Generate SQL with comments: disabled
2020-05-20 17:10:37 DEBUG Settings:111 - JPA compliance - query : disabled
2020-05-20 17:10:37 DEBUG Settings:112 - JPA compliance - closed-handling : disabled
2020-05-20 17:10:37 DEBUG Settings:113 - JPA compliance - lists : disabled
2020-05-20 17:10:37 DEBUG Settings:114 - JPA compliance - transactions : disabled
2020-05-20 17:10:37 DEBUG SessionFactoryImpl:256 - Session factory constructed with filter configurations : {}
